context,slot,gold,pred,label
"hi , i am looking for a hotel called aylesbray lodge guest house . do you have anything with that name ?
we do have a hotel with that name . it is in the south area and is moderate -ly priced . would you like me to book this for you ?
can you confirm if this is a guest house or hotel ? do they have free wifi ?
the aylesbray is a guest house and yes , it does include free internet . would you like me to book for you ?
no that will not be necessary . what is the address though so i have it for my reference ?
the address in 5 mowbray road . is there anything else i can help you with today ?
yes , i would also like to get a train that leaves cambridge and i arrive by 17:45 .
there are 2,828 trains that leave cambridge and arrive somewhere in the world by 17:45 . where would you like to go ?
i need to get to the stansted airport on friday , please .
i could get you on the tr1316 leaving at 14:40 and arriving at 15:08 . would you like tickets ?
no , that s alright . could i have the train id and travel time , however ?",hotel area,,south,bot miss
"can you find a hotel named worth house for me ? thanks .
sure , it is a guest house in the north . would you like me to book a room for you ?
can you tell me if they have free internet ?
yes , they have free wifi . do you need anything else ?
i would also like a train that leaves on tuesday and arrive by 14:30 .",hotel type,,guest house,correct
"are there any hotel -s with a star of 4 i can stay at ?
yes , there are 214 star hotel -s to choose from , do you have a price range in mind that you would prefer ?
yes , are there any in the moderate price range ?
i found 11 . would you like to specify an area ?
do not care . i am looking for free parking at the hotel though . which ones have that ?
there are 5 hotel -s would you like a certain area ?
just pick 1 of the hotel -s . i just want a guest house .
might i suggest the limehouse . they offer free parking and free internet . they are located in the north at 7880 milton road . would you like to book a room ?
yes , please . i also need a train on tuesday .
i can help you with that , but first , i'll need more info . what are your departure and arrival location -s ?",hotel book people,,1,correct inferred
"are there any 1 star hotel -s with free parking ?
i am sorry , i cannot find any hotel -s that meet your criteria . would you like to search again ?
i am looking for a guest house with free parking , preferably 1 star .
sorry , i am not finding anything . want to change to a hotel ?
what about guest houses ?
no , i am sorry but as i said , there are no guest house listings . what else may i look for for you ?
how about a hotel with 4 stars ?
it is available . can i book 1 for you ?
yes , i will be traveling alone on sunday and staying for 2 nights .
thank you for your patience . i am checking many hotel -s as so far i have been unsuccessful booking a room for you .
let s back up a bit . are there any 4 star guest houses ?
yes , there are 164 star guest houses that have free parking . do you have an area you are looking at ?
no , no place in particular . whatever you think is good .
the alexander bed and breakfast is a guest house in the centre in the cheap price range with parking . when are you arriving ? how many people ?
the reservation will start on sunday , for 1 person .
this booking was unsuccessful . is there a different day or area you would like to stay ?
sure , can you check on a tuesday arrival ?
okay , that booking was successful for tuesday . the reference number is sid7a0h4 . is there anything else you need ?",hotel name,alexander bed and breakfast,,bot miss
"i am excited to be coming to visit and hoping to see a college while in town .
there are more than 70 to choose from ! which area of town are you most interested in ?
i would like it to be in the center of town . what s the address of your favorite 1 ?
downing college is my favorite . it s located on regent street and it s free to get in .
that sounds like a great suggestion , what is the easiest way to get there ?
downing college is located at regent street in the center of town .
i am also looking for a guest house in town .
there are quite a few options to choose from . do you have a preference regarding price range or which area the guest house is located in ?
i would prefer a 4 star hotel , it does not matter where in the city as i'll have a car . i would also prefer that they offer free parking and wifi .
did you have a particular price range in mind ?
no , i do not .
i have a 16 matches , i need more information on area and price , please
i would prefer a guest house . does that help narrow it down ?
all 16 are guest houses . if i may , might i suggest the worth house . it is in the north and 4 star rated . they offer both free parking and wifi .
ok good thinking . book it for me and i would need the reference number
when will you begin your stay ?
can you book me a room for thursday for 2 people , 5 nights ?
your booking was successful . the reference number is px6xvgsj . can i help with anything else today ?
thank you , i would like to reserve a taxi around 22:45 , who can i contact and what type of car can i expect ?",attraction name,downing college,,bot miss
"i am looking for a place to dine in the centre that serves jamaican food .
i am sorry , i am not finding any place that serves jamaican food in the centre of town . would you like to try another area ?
that is fine , how about a place that serves indian food ?",restaurant food,indian,jamaican,value change
"i need a hotel that is in the expensive price range . that has a 3 star rating .
gonville hotel is a nice hotel that i can book for you .
can i check if it has free wifi ?
it sure does ! would you like to book a room ?
yes , for 6 people . 2 nights , starting from saturday
booking was successful . reference number is : p16vjzdh .
thank you . that is all for today . goodbye",hotel type,,hotel,correct
"i need a place to go and should be a museum
okay ! there are several museums in cambridge . what part of town would you like to visit ?
how about ones in the centre , what s available ?
there s 11 different museums in the centre . would you like a recommendation ?
yes , and if you can tell me it s entrance fee , that'd be great .
the entrance fee is free . is there anything else
could you give me the name of the museum ?
my favorite free museum is the broughton house gallery at 98 king street .
can i have the info of this place thank you
what would you like to know ?
oh thank you for the name of the museum and what part of the area is this museum in ? i would also like information about the lensfield hotel .
the museum is in the center part of time . the lensfield hotel is in the south , it s expensive , 3 stars and has free wifi and parking .
does the museum have an entrance fee ?
no it does not have an entrance fee
i need a taxi after the attraction you get contact number and car type
i can certainly book that for you . what time would you like to be picked up ?",hotel parking,,free,search semantics
"i am trying to find someplace to visit in town .
i can help you with that ! do you have a specific type of attraction in mind , or perhaps a certain area ?
yes , i need an attraction in the weat
there are a lot of colleges and museums in the west , do either of those work ?
yes . can you recommend 1 place and provide their phone number and postcode ?
certainly . churchill college: postcode cb30ds , phone number 01223332360 .
im also looking for a 4 star hotel .
there are 214 star hotel -s . what area would you like to stay ?
are any of those in the moderate price range ?
no they are not .
how about 1 that is in the expensive price range .
the huntingdon marriott hotel is the only expensive option in the west . would you like me to book it for you ?
yes for 6 people for 2 nights on wednesday , and i need the confirmation number
i will work on booking that and be back with you shortly .
okay , just let me get a reference number when you book it .",hotel area,,west,correct
"can you help me find a train ? i'll be traveling on wednesday .
what is your departure point and what time would you like to depart ?
oh , of course . sorry . i am leaving out of leicester and going into cambridge .
is there a specific time you want to leave or arrive by ? i have 2,828 trains to pick from . i need to narrow this down .
i want to arrive by 16:15 .
that narrowed it down to 10 options . what time would like to leave ?
i do not have a preference on leaving time .
how many tickets ?
i need 1 . departure time , travel time and train id ? also , i need a college in the west . i need the phone number and postcode to it .
let s get the train booked first . train tr1903 departs leicester at 05:09 and arrives in cambridge at 06:54 . shall i book this for you ?
no that information is enough for now but i would like to find a college to visit on the west side and would appreciate their telephone and postcode .",train leave at,any,16:15,wrong slot
