context,slot,value,annotation
"Absolutely! What’s the title of the book you’re interested in?
-  It’s called ""The Great Gatsby"" by F. Scott Fitzgerald.
-  Great choice! Let me just check our system to see if we have any copies available. (Types on computer) Yes, we currently have two copies of ""The Great Gatsby"" on our shelves. Would you like me to go ahead and check it out for you?
-  Yes, please. What’s the due date for return?
-  The due date for this book is two weeks from today. Do you have your library card with you?
-  Yes, here it is (hands over library card).
-  (Scans card) Perfect, everything seems to be in order. Just a reminder, if you keep the book past the due date, you’ll incur late fees and fines. Would you like me to explain our late fees policy?
-  Yes, please.
-  Late fees are 10 cents per day and will accrue until the book is returned. If the fees exceed $5.00, borrowing privileges will be suspended until the fees are paid. Additionally, you may only renew the book once, unless no one else has placed a hold on it. Speaking of holds, would you like me to place a hold on this book for you?
-  Not right now, but can you explain the procedure for placing a hold for me?
-  Of course, you can either request a hold through our online catalog or in person at any of our library branches. You’ll need to provide your library card number and information about the specific book you want to put on hold. Once the book becomes available, we’ll notify you either through email, text message or a phone call. You can then pick up the book at your convenience.
-  I see. Also, do you guys do interlibrary loans?
-  Yes, we do. However, please note that there may be a wait time and a small fee for this service.
-  Okay, thanks for letting me know. By the way, do you guys have any digital copies of ""The Great Gatsby?""
-  Yes, we do! We offer a variety of digital resources that you can access and download for free using your library card. I can show you how to access them on our website if you’d like.
-  That would be great, thank you. And one more thing, do you guys offer any assistance with research or finding materials?",offer assistance,?,vague
"Alright, what's on your mind?
-  Well, I've been working with the company for over three years now, and my job duties have increased significantly. I feel that my current salary of $45,000 per year doesn't quite reflect the value of my contributions and that I deserve a salary increase.
-  I understand where you're coming from, but before we proceed further, let's review your performance last year. According to our evaluation, you exceeded expectations in all aspects, which is commendable.
-  I appreciate that, but I also want to bring to your attention the market rates for similar jobs and salaries in the industry. Based on my research, the average salary for someone in my position with my qualifications, skills, and experience is around $55,000.
-  I see. I know that the cost of living is increasing in the area, and you may have some financial needs and obligations outside of work. Is that correct?
-  Yes, that's correct. I have a family to support, and with the rising cost of living, it's becoming increasingly difficult to make ends meet.
-  I understand that having financial security is important to you, and I want to ensure you're motivated to continue producing excellent work. However, I also need to consider the availability of company resources for salary increases and our budget constraints.
-  I understand that, Boss. But if my salary can be increased, it would greatly impact my motivation and productivity. It would make me feel valued, and that would reflect in the work I do.
-  I completely agree. However, I also need to keep in mind the potential impact of salary increases on other employees' salaries. We have a strict compensation and benefits policy for all our employees, and we need to ensure we're consistent and fair across the board.
-  That makes sense. I'm aware of it, but I also hope you consider my career goals and potential for advancement within the company. I aim to continue producing high-quality work and contributing to the company's growth, and I hope for a salary that reflects my dedication.
-  I understand where you're coming from. I'll review your request and see if there's any room for negotiation. I appreciate you bringing this to my attention, and I will update you soon.",review request,Reviewed,vague
"Roger that, Officer Brown. What’s your location?
-  I’m at 123 Main St. Suspects are barricaded inside the building and are heavily armed. The situation is critical.
-  Copy that. How many suspects are there?
-  There are two suspects seen so far. They may be more.
-  Got it. Please describe the suspects.
-  Suspect 1 is a Caucasian male, mid-30s, wearing dark clothing. Suspect 2 is an African American male, early 40s, bald, with a red bandana.
-  What is the level of threat?
-  High. The suspects are heavily armed and have already fired on me. I am under heavy fire and need backup ASAP.
-  Any weapons involved?
-  Yes, they are armed with rifles and handguns.
-  Are there any victims or hostages?",victims,?,
"Of course, what kind of drink are you in the mood for?
-  I'm feeling like a beer. Do you have any IPAs on tap?
-  Yes, we have a local IPA on draft. Would you like a pint?
-  Actually, could I get a smaller glass? I don't want to go too hard tonight.
-  Sure thing. Would you like it with a lime wedge or anything else?
-  No, just plain is fine. Could you make it a bit weaker than normal though?
-  Sure thing. Do you have any dietary restrictions or allergies I should be aware of?
-  Yes, I'm allergic to nuts, so if there's any garnish, please don't include any nuts.
-  Noted, thank you for letting me know. How will you be paying for your drink?
-  I have my card with me.
-  Perfect. Is there anything else I can help you with, or anything you'd like me to add to your drink?
-  Could I get it served in a frosted mug, please?
-  Absolutely. And just so you know, we have a happy hour from 4 to 7 with our beer of the day for only $3.
-  Oh, that sounds great! What's the beer of the day today?",interest in happy hour,True,
,team,Marketing,
,request,Backup,
"Hi! I'm Mike, and it's great to meet you too.
-  So, let's start with the script for the voiceover. Can you send it to me, please?
-  Sure, here it is. It's a promotional video for a new mobile app called ""FeedMe.""
-  Great. And can you tell me a bit more about the target audience for this app?
-  Of course. The app is designed for busy professionals who need a quick meal on the go.
-  Got it. And are there any specific words or phrases I should be aware of in terms of pronunciation?
-  Yes, there are a few. The name of the app, ""FeedMe,"" should be emphasized, as well as the word ""convenient.""
-  Okay, thanks for letting me know. And what kind of tone and style are you looking for in the voiceover performance?
-  We want it to be upbeat and energetic, but also professional.
-  Understood. And what are the timing and pacing requirements?
-  The video is 60 seconds long, so we want the voiceover to be roughly the same length. Also, we want it to match the pace of the visuals.
-  Sure, no problem. And what about the vocal qualities? Is there anything specific you're looking for in terms of pitch, resonance, etc?
-  We want a female voice, and something in the medium-high range would be good.
-  Okay, got it. And have you worked with any voiceover artists before that you particularly liked?
-  Yes, actually. We worked with a voiceover artist named Rachel Jones on our last project, and we thought she did a great job.
-  Thanks for letting me know. And what kind of equipment and studio setup do you have?
-  We have a soundproof booth and top-of-the-line microphones. We'll be recording in our in-house studio.",soundproof booth available,Yes,
"Of course, I'm excited to hear more about your start-up. Please start with your business plan.
-  Our business plan includes our financial projections, product, and market research. We're offering a new meal kit delivery service that will focus on organic and locally sourced ingredients. Our market research showed a high demand for this type of service in our area, and we are confident that our product will stand out from competitors.
-  Interesting. Can you share more about your financial projections and cash-flow?
-  Absolutely. Our initial investment will cover the cost of marketing, product development, and salaries for our team. We anticipate reaching profitability by the end of our second year, and our projected revenue for year three is $5 million.
-  Impressive. What is your team's qualifications and experience in the industry?
-  Our team includes a chef with over 10 years of experience working with organic and locally sourced ingredients, a marketing manager with a successful track record in our industry, and a programmer with experience in meal kit delivery logistics.
-  Great team. Can you tell me more about your competition analysis and marketing plans?
-  Sure, our competition analysis showed that there are currently no local organic meal kit delivery services. We plan to target health-conscious consumers through social media marketing and partnerships with local gyms and wellness centers.
-  Excellent. What is your growth strategy and exit plan for the company?
-  Our growth strategy includes expanding into neighboring cities and potentially offering a restaurant featuring our products. As for an exit plan, we will consider acquisition offers or an IPO in the future.",consider IPO,"Yes, potential IPO",
,need to do,Coordinate efforts,vague
"Yes, that's me. Thank you for delivering it.
-  You're welcome. May I please have your full name and address for verification purposes?
-  Of course, my name is Sarah Johnson and my address is 123 Main Street.
-  Thank you, Sarah. I have a package here for you from Amazon. Would you like me to bring it inside for you?
-  No, thank you. Please leave it on the porch.
-  Will do. Also, I noticed we had a delayed delivery for you last week. Do you still want me to deliver it now?
-  Yes, please. My family was expecting that package.
-  Great, I'll make sure to bring it back tomorrow. And just for my records, can you confirm the last name of the mail recipient or recipients for me?
-  It's Johnson, same as mine.
-  Thank you. And can you also provide any special instructions for future deliveries, such as a preferred delivery time or requiring a signature for delivery?
-  No, regular delivery times work fine for me. But can you please make sure to deliver any packages to the front porch and any letters to the mailbox? And if I'm not home, please leave packages on the porch.
-  Absolutely, I'll make sure to follow that. And lastly, do you need any additional mail services, such as forwarding or hold mail services?",package handling,Porch,
